age,education,experience,gender,race,hired
37,1,17,1,0,1
55,4,14,1,0,1
41,1,19,0,1,1
38,1,5,1,1,1
48,4,19,1,0,1
51,1,7,1,1,1
49,1,17,1,1,1
26,1,5,1,1,0
50,1,14,1,1,1
53,4,2,0,0,0
38,1,2,1,1,0
23,3,18,0,1,1
50,3,5,0,0,0
52,3,13,1,1,1
43,4,15,1,1,1
24,4,2,0,1,1
54,1,17,0,0,1
53,4,1,1,1,1
50,4,3,1,1,1
32,3,17,1,1,1
51,1,20,1,1,1
39,4,15,0,0,1
34,2,2,0,1,0
54,3,0,1,1,1
53,2,14,0,0,1
46,4,10,0,1,1
36,4,1,0,1,1
46,2,15,0,1,0
28,4,3,1,0,1
48,2,2,1,0,1
47,1,10,0,0,0
24,1,7,0,1,0
28,1,14,0,1,0
42,1,9,1,1,1
48,2,5,0,1,0
37,4,18,0,1,1
38,1,14,0,1,1
44,3,20,0,0,1
34,4,15,1,1,1
40,3,0,0,0,0
53,3,7,1,0,1
38,2,20,1,1,1
50,1,18,1,1,1
42,4,5,1,1,1
55,3,5,1,1,1
43,1,14,1,1,0
45,1,12,0,1,1
38,4,20,1,1,1
42,2,20,1,1,1
48,1,4,1,1,1
29,1,7,0,0,0
48,2,13,0,1,1
24,3,6,1,0,1
28,3,17,1,1,1
51,1,6,1,0,1
37,2,18,1,1,1
35,2,10,1,1,1
31,2,17,1,1,1
30,1,11,1,1,1
25,2,13,1,0,1
45,1,14,0,0,0
41,4,20,0,1,1
49,1,15,0,0,1
31,1,4,0,1,0
46,3,14,1,0,1
35,4,14,1,1,1
48,1,10,0,0,1
52,1,2,1,1,1
30,1,18,1,0,1
44,4,1,0,1,1
54,2,4,0,0,1
45,1,8,0,0,0
23,3,0,0,1,0
44,1,5,1,1,1
23,1,16,1,1,1
45,3,10,1,0,1
32,1,2,1,1,1
50,4,8,0,1,1
29,3,18,0,0,1
47,1,0,1,1,1
38,3,10,1,1,1
30,4,17,1,1,1
26,4,1,1,0,0
49,4,20,1,0,1
32,4,11,1,1,1
47,1,12,0,1,1
26,1,16,1,0,0
31,2,3,1,1,1
26,2,20,1,0,1
50,3,20,0,1,1
41,3,18,0,1,1
50,1,1,0,1,1
54,4,14,1,0,1
50,2,10,1,0,1
50,1,10,1,1,1
50,4,16,1,0,1
46,4,10,1,0,1
26,3,3,1,0,1
31,3,2,0,0,0
47,2,19,1,1,1
30,1,20,1,0,1
33,2,10,1,0,0
26,3,3,1,0,0
24,3,19,0,1,1
32,4,1,1,0,1
40,4,7,0,0,0
34,3,18,0,0,1
54,4,5,0,1,1
25,4,11,1,0,1
29,3,2,0,1,0
49,1,7,1,0,0
25,4,16,0,1,0
36,1,10,1,1,1
30,1,9,1,0,1
50,1,2,0,1,0
55,4,3,0,1,1
48,4,2,1,1,1
23,2,4,0,1,0
48,2,2,1,0,1
54,1,12,0,0,0
38,1,11,1,1,1
43,2,1,1,1,1
51,4,20,1,1,1
24,3,6,0,1,0
41,4,17,1,0,1
40,3,1,1,1,1
47,4,12,0,1,1
45,3,2,0,0,0
40,3,3,1,1,1
49,2,14,0,1,0
49,3,20,1,1,1
54,2,0,1,1,1
24,2,2,0,1,1
24,2,14,0,1,0
30,3,12,0,1,1
23,2,15,1,0,1
38,4,6,1,0,0
34,1,4,0,1,0
27,3,11,0,1,1
32,2,11,1,0,0
37,4,0,1,1,1
30,1,2,0,1,0
55,4,13,0,0,0
50,4,16,1,1,1
33,2,13,0,0,1
55,2,9,1,1,0
44,3,2,1,1,0
30,3,19,1,0,1
31,2,19,0,0,0
23,1,1,1,0,1
48,1,15,0,0,0
37,4,9,0,0,1
48,4,14,0,1,1
44,4,4,1,1,1
51,1,8,1,0,1
46,4,7,1,1,1
34,2,15,1,0,1
23,1,12,0,0,1
44,1,1,0,1,0
40,1,3,0,0,0
47,3,1,1,0,1
40,1,12,1,0,1
29,2,3,0,0,0
45,2,6,0,0,0
24,2,10,1,0,1
30,3,19,0,1,0
43,4,18,1,1,1
29,4,18,1,1,1
52,3,20,1,0,1
52,2,16,0,0,1
24,1,6,1,1,1
35,4,16,0,0,1
30,2,17,1,1,1
42,2,14,0,0,1
52,2,7,1,1,1
40,2,15,1,1,1
40,1,18,1,0,0
31,3,1,1,1,1
38,4,6,0,1,1
39,2,3,0,0,1
55,2,20,1,1,1
28,2,0,0,0,1
52,2,9,0,1,1
36,1,5,1,0,1
47,4,5,1,1,1
28,3,9,0,0,1
30,4,8,0,1,1
38,2,0,0,1,0
33,4,13,1,0,1
33,2,15,1,1,1
37,4,8,0,1,1
38,3,7,1,1,1
47,3,3,1,1,1
52,2,14,1,0,1
35,2,19,0,1,1
26,1,1,1,0,1
31,2,10,0,0,0
53,1,16,0,0,1
48,4,18,0,1,1
23,4,8,1,1,1
49,3,2,1,0,0
52,1,9,1,0,1
45,4,14,0,0,1
30,3,3,0,1,1
36,1,0,1,1,0
46,2,7,0,0,1
24,4,19,1,1,1
24,4,19,0,1,1
36,2,1,0,1,1
42,3,7,0,1,0
36,4,9,0,1,0
49,4,1,1,1,1
42,4,13,0,1,1
52,2,7,0,1,1
25,4,13,0,0,1
35,3,20,1,1,1
34,1,8,1,0,1
34,2,15,1,1,1
35,2,3,1,0,1
47,2,17,1,1,1
44,3,8,0,1,1
52,3,6,1,1,1
31,1,8,1,0,1
40,2,6,0,1,0
53,3,8,1,0,1
51,2,11,0,1,1
25,1,2,1,1,1
26,2,0,1,1,1
52,4,0,0,1,1
55,3,17,1,1,1
33,1,3,0,0,0
38,3,8,0,0,0
37,2,9,0,1,0
27,4,12,1,0,1
32,1,15,1,0,1
55,1,7,1,1,1
52,3,1,0,1,1
24,2,10,0,1,1
26,3,5,0,0,0
43,4,4,0,1,0
28,4,7,1,1,1
47,3,0,0,1,1
44,4,13,1,1,1
40,2,2,1,1,1
46,3,11,1,1,1
45,3,3,0,1,1
54,4,3,0,1,1
42,4,0,0,1,0
37,2,12,0,1,1
31,1,5,0,0,0
45,3,7,1,0,1
30,3,0,1,0,1
50,3,13,1,0,1
52,3,5,1,0,1
37,3,12,0,1,1
34,2,17,1,1,1
50,3,2,1,0,1
37,3,4,1,0,1
52,4,17,0,0,1
24,3,17,0,0,1
44,2,20,1,0,0
43,4,3,0,1,1
36,4,11,0,0,1
31,3,0,0,0,0
29,2,11,1,1,1
52,3,15,0,1,1
26,3,1,1,1,1
32,2,16,1,1,1
51,2,12,0,1,0
23,2,14,0,0,1
35,3,2,1,0,0
45,3,6,1,0,1
55,3,19,0,0,1
44,4,19,1,1,1
27,2,10,1,1,1
31,4,13,1,0,1
53,2,17,1,1,1
50,1,11,1,1,1
54,4,13,0,0,0
32,1,18,0,1,1
39,2,17,1,1,1
54,1,18,0,1,1
24,4,17,1,1,1
41,1,14,1,1,1
29,2,6,0,0,0
49,2,19,0,1,1
44,3,19,1,0,0
40,3,16,1,1,1
25,3,20,0,1,1
42,2,12,1,0,1
46,4,2,0,1,0
51,4,10,1,0,1
51,3,2,1,0,0
53,3,10,1,1,1
53,3,1,0,1,0
23,1,5,0,0,0
34,2,20,0,1,0
27,3,8,1,1,1
25,4,20,1,1,1
27,1,0,0,1,1
55,4,0,1,1,1
30,4,2,0,1,0
28,3,11,1,1,1
31,1,16,1,0,1
44,2,20,0,1,1
35,1,3,0,1,0
44,4,10,0,1,1
40,1,9,1,1,1
40,1,7,0,0,0
26,1,11,0,1,0
48,3,17,0,1,0
23,1,0,1,1,0
54,3,20,0,0,1
27,2,8,0,1,1
31,3,12,1,0,1
41,4,7,1,1,1
51,1,9,1,1,1
32,4,11,1,0,1
32,3,4,1,1,1
43,4,8,1,0,1
26,4,14,0,0,1
32,3,5,0,1,0
36,1,1,1,1,1
31,2,1,0,0,0
36,3,7,0,0,1
45,1,16,1,1,1
47,1,14,1,1,1
51,1,11,1,1,1
37,4,11,0,0,0
37,2,0,1,0,0
43,1,12,1,1,1
48,4,1,1,1,1
55,4,11,1,0,1
54,2,20,1,0,1
30,2,9,0,1,0
42,3,14,0,1,0
28,2,3,1,1,1
44,2,14,1,1,1
32,3,19,1,1,1
27,2,11,1,0,1
33,1,12,1,0,1
51,1,4,1,1,0
30,2,12,1,1,1
38,1,0,1,1,0
27,3,3,1,1,1
49,4,15,0,1,1
35,2,8,1,1,1
37,3,15,0,0,1
39,4,4,1,0,0
37,1,12,0,1,0
54,3,12,1,1,1
23,3,1,1,0,0
32,1,7,1,1,0
36,4,11,1,1,1
23,3,18,1,0,1
41,2,15,0,1,1
23,4,0,1,1,1
43,2,10,1,1,1
29,3,2,1,1,1
28,3,9,0,1,1
53,3,5,0,0,0
36,2,12,1,1,1
22,4,18,1,1,1
36,1,15,0,1,1
42,2,20,1,1,1
50,1,8,1,1,1
28,1,1,1,0,1
48,4,12,1,1,1
36,2,14,0,1,1
42,3,3,1,1,1
26,1,10,1,0,0
49,2,19,1,0,1
34,4,17,1,0,1
28,1,12,1,0,1
45,1,13,1,1,1
52,2,3,0,1,0
52,1,9,1,0,0
27,4,5,1,1,1
24,3,14,0,0,0
25,2,3,0,1,0
36,1,12,0,0,0
37,4,9,0,1,0
54,2,3,1,0,0
34,2,1,1,0,0
31,3,10,1,1,1
42,3,16,0,0,1
55,4,3,0,0,0
28,1,18,0,1,0
48,3,12,1,0,1
39,4,4,1,0,1
47,3,7,1,1,1
23,3,9,1,1,1
36,2,9,1,0,1
27,2,14,0,1,1
55,3,1,0,0,1
47,2,16,0,0,1
25,2,1,1,0,1
